10,137,1
10,138,1
10,139,1
10,140,1
10,141,1
10,142,1
101,1327,1
101,1252,1
101,1251,1
101,1257,1
101,1259,1
101,1261,1
101,1264,1
101,1326,1
101,1327,1
101,1334,1
101,1370,1
105,1296,1
105,1465,1
105,1266,1
105,1267,1
105,1270,1
105,1271,1
105,1274,1
105,1285,1
105,1287,1
105,1289,1
105,1292,1
105,1294,1
105,1296,1
105,1298,1
105,1300,1
105,1303,1
105,1302,1
105,1306,1
105,1363,1
105,1368,1
105,1465,1
107,1308,1
107,1312,1
107,1314,1
107,1316,1
107,1328,1
107,1332,1
107,1372,1
107,1374,1
107,1380,1
107,1382,1
107,1385,1
107,1387,1
107,1396,1
107,1400,1
107,1405,1
107,1407,1
107,1410,1
107,1414,1
107,1461,1
11,78,1
11,86,1
11,85,1
11,84,1
11,83,1
11,82,1
11,81,1
11,80,1
11,79,1
113,1318,1
113,1320,1
113,1321,1
113,1324,1
113,1388,1
113,1528,1
116,1404,1
116,1523,1
116,1337,1
116,1339,1
116,1342,1
116,1344,1
116,1341,1
116,1347,1
116,1349,1
116,1351,1
116,1353,1
116,1355,1
116,1358,1
116,1361,1
116,1360,1
116,1366,1
116,1378,1
116,1375,1
116,1391,1
116,1394,1
116,1397,1
116,1401,1
116,1404,1
116,1411,1
116,1450,1
116,1453,1
116,1456,1
116,1523,1
12,149,1
12,149,1
12,150,1
12,151,1
12,152,1
12,157,1
12,158,1
12,159,1
12,187,1
12,189,1
120,1416,1
120,1418,1
120,1420,1
120,1424,1
120,1422,1
120,1426,1
120,1428,1
120,1430,1
120,1432,1
120,1436,1
120,1438,1
120,1435,1
120,1442,1
120,1441,1
120,1445,1
120,1448,1
120,1455,1
120,1506,1
120,1512,1
120,1517,1
120,1531,1
120,1612,1
120,1711,1
123,1463,1
123,1463,1
123,1493,1
123,1498,1
127,1466,1
127,1468,1
127,1494,1
127,1510,1
127,1518,1
127,1541,1
128,1470,1
128,1483,1
128,1470,1
128,1473,1
128,1476,1
128,1475,1
128,1479,1
128,1481,1
128,1483,1
128,1485,1
128,1487,1
128,1489,1
128,1496,1
128,1501,1
128,1503,1
128,1508,1
128,1521,1
128,1526,1
128,1533,1
13,101,1
13,106,1
13,107,1
13,108,1
13,109,1
13,110,1
13,111,1
13,163,1
13,165,1
13,205,1
13,207,1
13,209,1
134,1562,1
134,1563,1
134,1567,1
134,1566,1
134,1570,1
134,1572,1
134,1574,1
134,1578,1
